txid	host_txids	host_names	diseases
11070	9606;7160;188700;7159	Homo sapiens;Aedes aegypti;Aedes polynesiensis;Aedes albopictus	Dengue
11053	9606;7160;7159	Homo sapiens;Aedes aegypti;Aedes albopictus	Dengue
1980520	34626	Hyalomma dromedarii	
2315478	210145	Corchorus siliquosus	
361731	1833945	Desmodium glabrum	
1960710	53866	Desmodium	
1622024	9430	Desmodus rotundus	
1926498	9430	Desmodus rotundus	
114654	9606	Homo sapiens	
1920988	50390	Diabrotica virgifera virgifera	
1920989	50390	Diabrotica virgifera virgifera	
109981	58733	Diachasmimorpha longicaudata	
1585246	58733	Diachasmimorpha longicaudata	
158683	7420	Diadromus pulchellus	
37368	7420	Diadromus pulchellus	
1972700	51655	Plutella xylostella	
2060479	7160;7157	Culicidae;Aedes albopictus	
1776153	121845	Diaphorina citri	
1868621	121845	Diaphorina citri	
111470	73123	Diaporthe ambigua	
547467	255860	Diascia	
1678170	2836	Bacillariophyta	
1678171	2836	Bacillariophyta	
1678172	2836	Bacillariophyta	
1678173	2836	Bacillariophyta	
1678175	2836	Bacillariophyta	
1678176	2836	Bacillariophyta	
1678177	2836	Bacillariophyta	
1678178	2836	Bacillariophyta	
1678160	1	root	
1678161	2836	Bacillariophyta	
1678162	2836	Bacillariophyta	
1678163	2836	Bacillariophyta	
1678164	2836	Bacillariophyta	
1678165	2836	Bacillariophyta	
1678166	2836	Bacillariophyta	
1678167	2836	Bacillariophyta	
1678168	2836	Bacillariophyta	
1678179	2836	Bacillariophyta	
1678180	2836	Bacillariophyta	
72003	40085	Diatraea saccharalis	
1675862	40085	Diatraea saccharalis	
152177	36459;14366;45173;228483;53064;38198;125146;37818;38220;154697	Cymbidium;Odontoglossum;Vanda;Oncidium;Phalaenopsis;Paphiopedilum;Dendrobium;Coelogyne;Miltonia;Renanthera	
1698708	1778540	Dickeya fangzhongdai	
2163630	1089444	Dickeya solani	
2320191	1089444	Dickeya solani	
2320192	1089444	Dickeya solani	
2320193	1089444	Dickeya solani	
2163631	1089444	Dickeya solani	
1477406	1914291	Dickeya sp.	
2283029	1224151	Dickeya solani MK10	
2382310	1089444	Dickeya solani	
2283031	1224151	Dickeya solani MK10	
2283033	1224151	Dickeya solani MK10	
94700	76361	Dicliptera	
1692247	107395	Didemnum sp.	
1196237	66018	Digitaria ciliaris	
889510	435758	Digitaria didactyla	
10837	121769	Digitaria sanguinalis	
1408895	40922	Anethum graveolens	
1323529	40922	Anethum graveolens	
1541119	144245	Dinocampus coccinellae	
1477404	398580;215813	Dinoroseobacter shibae;Dinoroseobacter shibae DFL 12 = DSM 16493	
1815983	398580;215813	Dinoroseobacter shibae;Dinoroseobacter shibae DFL 12 = DSM 16493	
1498169	398580;215813	Dinoroseobacter shibae;Dinoroseobacter shibae DFL 12 = DSM 16493	
2873349	398580;215813	Dinoroseobacter shibae;Dinoroseobacter shibae DFL 12 = DSM 16493	
1965368	215813	Dinoroseobacter shibae	
656520	298690	Diodia virginiana	
1619899	55577	Dioscorea cayenensis subsp. rotundata	
2169727	55577	Dioscorea cayenensis subsp. rotundata	
2011125	55577	Dioscorea cayenensis subsp. rotundata	
1755696	55578	Dioscorea sansibarensis	
2169728	55581	Dioscorea trifida	
52996	55578	Dioscorea sansibarensis	
2170181	55577	Dioscorea cayenensis subsp. rotundata	
2491019	35874	Dioscorea bulbifera	
2303485	1238140	Dioscorea nummularia	
459770	280322	Diplodia scrobiculata	
148880	148313	Discula destructiva	
160484	148313	Discula destructiva	
2079134	1	root	
1247115	1198148	Diuris pedunculata	
1247116	1198148	Diuris pedunculata	
1980467	9606;134909;39030;54292	Homo sapiens;Apodemus agrarius;Apodemus ponticus;Apodemus flavicollis	Hemorrhagic fever with renal syndrome
333968	35936	Lablab purpureus	
37131	9726;9723	Delphinidae;Platanistidae	
1511639	27610	Lagenorhynchus albirostris	
2107574	9685	Felis catus	
2793345	543	Enterobacteriaceae	
985683	186751;37951;68878	Anopheles cruzii;Anopheles moucheti;Aedes sp.	
1400526	1423412	Diuris longifolia	
1198144	152868	Diuris laxiflora	
380669	326070	Dracaena sanderiana	
2169905	451473	Erythrodiplax fusca	
2152567	6962;2510002	Anisoptera;Epiprocta	
1234879	447881	Tholymis tillarga	
1234880	185825	Pantala flavescens	
1234881	70384	Erythemis simplicicollis	
1234882	237662	Rhionaeschna multicolor	
1234883	451475	Erythrodiplax umbrata	
1574360	237662	Rhionaeschna multicolor	
1574361	481685	Xanthocnemis zealandica	
1574362	320892	Orthetrum sabina	
1234887	451481	Miathyria marcella	
1234872	185825	Pantala flavescens	
1234878	185825	Pantala flavescens	
1454021	447874	Procordulia grayi	
1454022	481685	Xanthocnemis zealandica	
1454023	447874	Procordulia grayi	
1454024	447874	Procordulia grayi	
1454025	447874	Procordulia grayi	
1454026	447874	Procordulia grayi	
1454027	447874	Procordulia grayi	
1454028	447874	Procordulia grayi	
1454029	447874	Procordulia grayi	
1454030	447874	Procordulia grayi	
1234874	451468	Diplacodes bipunctata	
1234886	70384	Erythemis simplicicollis	
1234884	185825	Pantala flavescens	
1249648	451475	Erythrodiplax umbrata	
1234888	1	root	
1647805	152869	Drakaea	
1662272	9838	Camelus dromedarius	
2014603	9838	Camelus dromedarius	
2014604	9838	Camelus dromedarius	
1479610	9838	Camelus dromedarius	
1637527	9838	Camelus dromedarius	
1574422	9837;9838	Camelus bactrianus;Camelus dromedarius	
595895	7227	Drosophila melanogaster	
1308859	7246	Drosophila affinis	
1002359	7217	Drosophila ananassae	
64279	7227	Drosophila melanogaster	
1500866	7250	Drosophila immigrans	
1002360	7147	Diptera	
2057187	198719	Drosophila innubila	
666363	7227	Drosophila melanogaster	
666961	7227	Drosophila melanogaster	
663282	7227	Drosophila melanogaster	
666962	7282	Drosophila obscura	
1500865	7241	Drosophila subobscura	
1802951	193352	Drosophila unispina	
48981	7227	Drosophila melanogaster	
1482734	8839	Anas platyrhynchos	
130329	8839	Anas platyrhynchos	
1520006	8855	Cairina moschata	
2006585	8839	Anas platyrhynchos	
1239441	8839	Anas platyrhynchos	
707882	8839	Anas platyrhynchos	
622438	8839	Anas platyrhynchos	
130328	8839;9031;8843	Anas platyrhynchos;Gallus gallus;Anser anser	
324685	8839	Anas platyrhynchos	
300188	8839	Anas platyrhynchos	
1207926	8839	Anas platyrhynchos	
1843768	8839	Anas platyrhynchos	
1843769	8839	Anas platyrhynchos	
1843770	8839	Anas platyrhynchos	
1150860	8839	Anas platyrhynchos	
1006061	8839;9031	Anas platyrhynchos;Gallus gallus	
1006063	8839	Anas platyrhynchos	
12639	8835	Anas	
427748	8839	Anas platyrhynchos	
427749	8839	Anas platyrhynchos	
398066	8839	Anas platyrhynchos	
542654	8839	Anas platyrhynchos	
673840	8839	Anas platyrhynchos	
673841	8839	Anas platyrhynchos	
1400257	8839	Anas platyrhynchos	
1399582	8839	Anas platyrhynchos	
1980521	34611;9606;72862;34630;72855;34610;60189;136141	Rhipicephalus annulatus;Hyalomma rufipes;Rhipicephalus decoloratus;Homo sapiens;Amblyomma variegatum;Rhipicephalus;Rhipicephalus geigyi;Hyalomma truncatum	
70823	45834	Solanum dulcamara	
754069	140095	Dunaliella viridis	
1006585	9534;252607	Chlorocebus aethiops;Lutzomyia	
742163	167917	Duranta erecta	
710545	81903;9534;10090	Chlorocebus aethiops;Fulica americana;Mus musculus	
1888317	243369	Portia labiata	
557419	1084239	Citrus reticulata x Citrus sinensis	
551224	214836	Dysaphis plantaginea	
223262	3983	Manihot esculenta	
393599	3983	Manihot esculenta	
223264	3983;4100	Nicotiana benthamiana;Manihot esculenta	
223265	3983	Manihot esculenta	
62079	3983	Manihot esculenta	
581119	3983	Manihot esculenta	
223275	3983	Manihot esculenta	
2734556	78168	Passiflora edulis	
341167	78168	Passiflora edulis	
2170195	9606	Homo sapiens	
11021	228917;9796;7158;9606;329109;9126	Culiseta melanura;Ochlerotatus canadensis;Aedes;Passeriformes;Equus caballus;Homo sapiens	Eastern equine encephalitis
2042482	9317	Macropus giganteus	
128952	9606;77243;77231	Homo sapiens;Epomops franqueti;Myonycteris torquata	
1000646	9606	Homo sapiens	
103914	9606	Homo sapiens	
103915	9606	Homo sapiens	
12078	9606;9534	Homo sapiens;Chlorocebus aethiops	
35293	9606	Homo sapiens	
47501	9606	Homo sapiens	
47502	9606	Homo sapiens	
47503	9606	Homo sapiens	
47504	9606	Homo sapiens	
47505	9606	Homo sapiens	
47506	9606	Homo sapiens	
47507	9606	Homo sapiens	
35294	9606	Homo sapiens	
47508	9606	Homo sapiens	
47509	9606	Homo sapiens	
47510	9606	Homo sapiens	
45101	9606	Homo sapiens	
47511	9606	Homo sapiens	
45999	9606	Homo sapiens	
47512	9606	Homo sapiens	
47516	9606	Homo sapiens	
41846	9606	Homo sapiens	
47513	9606	Homo sapiens	
47514	9606	Homo sapiens	
47515	9606	Homo sapiens	
35295	9606	Homo sapiens	
40280	9606;60711	Homo sapiens;Chlorocebus sabaeus	
12062	9606;60711	Homo sapiens;Chlorocebus sabaeus	
46018	9606	Homo sapiens	
12060	9606	Homo sapiens	
2480191	309355	Ecklonia radiata	
2480193	309355	Ecklonia radiata	
2480195	309355	Ecklonia radiata	
2480197	309355	Ecklonia radiata	
2480198	309355	Ecklonia radiata	
2030126	337826;53719	Alternanthera yellow vein virus;Eclipta prostrata	
875324	4100;53719	Nicotiana benthamiana;Eclipta prostrata	
1417755	175694	Andrographis paniculata	
1511762	10090	Mus musculus	
37665	2880	Ectocarpus siliculosus	
12643	10090	Mus musculus	
1452750	9606	Homo sapiens	
1651168	10088;10090	Mus;Mus musculus	
59376	248899	Ectropis obliqua	
240555	248899	Ectropis obliqua	
64296	9307	Macropodidae	
2419942	1821960	Edwardsiella anguillarum	
945083	67780	Edwardsiella ictaluri	
1391659	67780	Edwardsiella ictaluri	
1537091	636	Edwardsiella tarda	
1244857	636	Edwardsiella tarda	
1244856	636	Edwardsiella tarda	
1264700	636	Edwardsiella tarda	
1608310	67780	Edwardsiella ictaluri	
1325372	67780	Edwardsiella ictaluri	
2562142	636	Edwardsiella tarda	
1398149	7936	Anguilla anguilla	
1609634	1	root	
685443	7936	Anguilla anguilla	
1888318	6960	Hexapoda	
2283015	84112	Eggerthella lenta	
219174	4111	Solanum melongena	
12151	4111;45840;4081	Solanum seaforthianum;Solanum melongena;Solanum lycopersicum	
270256	4111	Solanum melongena	
488317	51426	Agapanthus	
1131483	77214	Eidolon helvum	
1163701	77214	Eidolon helvum	
1335476	77214	Eidolon helvum	
1335477	77214	Eidolon helvum	
1891722	9397;77214	Chiroptera;Eidolon helvum	
1231903	139045	Anopheles coustani	
155414	51314	Eimeria brunetti	
1898175	471275	Eimeria stiedai	
1566868	5802	Eimeria tenella	
1987020	9606	Homo sapiens	
1987021	9606	Homo sapiens	
2304214	4202	Sambucus nigra	
1569052	57008	Sambucus canadensis	
1569053	57008	Sambucus canadensis	
1569054	4203;57008	Sambucus canadensis;Sambucus racemosa	
1569055	4203;57008	Sambucus canadensis;Sambucus racemosa	
1569056	4203	Sambucus racemosa	
167018	57008	Sambucus canadensis	
759753	9783	Elephas maximus	
548914	9783	Elephas maximus	
768738	9783	Elephas maximus	
146015	9785;99490;9783;9780	Loxodonta cyclotis;Elephantidae;Elephas maximus;Loxodonta africana	
2596881	29674	Eleusine indica	
2480175	55832	Elliptio complanata	
56486	172265;63459	Ulmus glabra;Chenopodium quinoa	
1980429	3821	Cajanus cajan	
1980432	49801	Cercis canadensis	
2099567	39501	Cordyline fruticosa	
1980427	3494	Ficus carica	
1980431	32247;4100;23216	Rubus idaeus;Rubus;Nicotiana benthamiana	
2660760	165200	Actinidia eriantha	
1980433	74647	Rosa multiflora	
1980430	3821	Cajanus cajan	
1980428	4565	Triticum aestivum	
329852	331112	Escherichia coli HS	
2020881	415160	Emilia sonchifolia	
2496574	415160	Emilia sonchifolia	
2496575	415160	Emilia sonchifolia	
498803	189211	Crassocephalum crepidioides	
640136	415160	Emilia sonchifolia	
498805	415160	Emilia sonchifolia	
181082	2903	Emiliania huxleyi	
12104	9606;9825;10036	Homo sapiens;Sus scrofa domesticus;Mesocricetus auratus	
73423	4232;34245;75947;41653;41522;13427;13731;75943;99035;114280;4236;75948	Centaurea cyanus;Tragopogon pratensis;Helianthus annuus;Lactuca saligna;Calendula arvensis;Cichorium endivia;Zinnia elegans;Cichorium intybus;Tragopogon porrifolius;Lactuca sativa;Lactuca virosa;Lactuca serriola	
1472717	1049777	Enhydra lutris nereis	
1821545	7160;53527	Culex;Aedes albopictus	
64283	9397	Chiroptera	
1864622	1676277	Enterobacter sp. CT7	
709484	562	Escherichia coli	
1636313	550	Enterobacter cloacae	
1636314	550	Enterobacter cloacae	
1636315	550	Enterobacter cloacae	
942016	550	Enterobacter cloacae	
2483604	550	Enterobacter cloacae	
2070180	550	Enterobacter cloacae	
1150990	69218	Enterobacter cancerogenus	
2137745	61645	Enterobacter asburiae	
2886900	548	Klebsiella aerogenes	
1871712	42895	Enterobacter sp.	
2108137	550	Enterobacter cloacae	
1455074	550	Enterobacter cloacae	
1587520	548	Klebsiella aerogenes	
1701257	548	Klebsiella aerogenes	
1682394	548	Klebsiella aerogenes	
1147139	550	Enterobacter cloacae	
2340712	550	Enterobacter cloacae	
1864623	1676277	Enterobacter sp. CT7	
2696340	550	Enterobacter cloacae	
2908628	550	Enterobacter cloacae	
2894794	550	Enterobacter cloacae	
2596709	158836	Enterobacter hormaechei	
254397	562	Escherichia coli	
1468411	562	Escherichia coli	
1651202	991915	Escherichia coli O121:H19	
1651196	244319	Escherichia coli O26:H11	
196242	562	Escherichia coli	
1206313	543	Enterobacteriaceae	
414970	562	Escherichia coli	
539221	439184	Escherichia coli RS218	
101570	90371	Salmonella enterica subsp. enterica serovar Typhimurium	
10863	562	Escherichia coli	
1357825	624;83334	Escherichia coli O157:H7;Shigella sonnei	
1340813	562	Escherichia coli	
1340814	562	Escherichia coli	
12017	562	Escherichia coli	
12018	562	Escherichia coli	
1222338	1038927	Escherichia coli O104:H4	
1651199	373045	Escherichia coli O111:NM	
1206300	543	Enterobacteriaceae	
1147143	562	Escherichia coli	
1147144	562	Escherichia coli	
155148	562	Escherichia coli	
338111	543	Enterobacteriaceae	
310953	543	Enterobacteriaceae	
338136	543	Enterobacteriaceae	
384642	562	Escherichia coli	
1273714	498388	Escherichia coli C	
338112	543	Enterobacteriaceae	
338113	543	Enterobacteriaceae	
338134	543	Enterobacteriaceae	
338114	543	Enterobacteriaceae	
338129	543	Enterobacteriaceae	
1090133	562	Escherichia coli	
1414766	562	Escherichia coli	
1610836	83333	Escherichia coli K-12	
1610837	83333	Escherichia coli K-12	
1610838	83333	Escherichia coli K-12	
1651198	376725	Escherichia coli O103:H2	
12021	562	Escherichia coli	
318593	543	Enterobacteriaceae	
1235640	1144303;562	Escherichia coli J53;Escherichia coli	
1508658	562	Escherichia coli	
1147149	562	Escherichia coli	
1147156	562	Escherichia coli	
1147150	562	Escherichia coli	
1147151	562	Escherichia coli	
1147152	562	Escherichia coli	
338115	543	Enterobacteriaceae	
338137	543	Enterobacteriaceae	
338118	543	Enterobacteriaceae	
338132	543	Enterobacteriaceae	
338119	543	Enterobacteriaceae	
338133	543	Enterobacteriaceae	
338131	543	Enterobacteriaceae	
338109	543	Enterobacteriaceae	
338120	543	Enterobacteriaceae	
338121	543	Enterobacteriaceae	
338116	543	Enterobacteriaceae	
338122	543	Enterobacteriaceae	
338123	543	Enterobacteriaceae	
338138	543	Enterobacteriaceae	
338117	543	Enterobacteriaceae	
75725	543	Enterobacteriaceae	
2282412	562	Escherichia coli	
10680	10679	Peduovirus P2	
10682	561	Escherichia	
10713	562	Escherichia coli	
1273706	562	Escherichia coli	
103807	562	Escherichia coli	
318594	543	Enterobacteriaceae	
318595	543	Enterobacteriaceae	
318596	543	Enterobacteriaceae	
261665	543	Enterobacteriaceae	
10658	90371;666;584;294;562;287;471;303	Vibrio cholerae;Escherichia coli;Proteus mirabilis;Pseudomonas aeruginosa;Pseudomonas fluorescens;Salmonella enterica subsp. enterica serovar Typhimurium;Acinetobacter calcoaceticus;Pseudomonas putida	
69608	37762;562	Escherichia coli;Escherichia coli B	
10692	562	Escherichia coli	
69609	37762;562	Escherichia coli;Escherichia coli B	
134822	37762	Escherichia coli B	
1112578	37762	Escherichia coli B	
10693	562	Escherichia coli	
697289	37762	Escherichia coli B	
697290	37762	Escherichia coli B	
69610	37762;562	Escherichia coli;Escherichia coli B	
36339	37762	Escherichia coli B	
697291	37762	Escherichia coli B	
69612	37762;562	Escherichia coli;Escherichia coli B	
10844	498388	Escherichia coli C	
1524881	1351	Enterococcus faecalis	
1225789	623	Shigella flexneri	
55884	623	Shigella flexneri	
12027	562	Escherichia coli	
221029	85569	Salmonella enterica subsp. enterica serovar Typhimurium str. DT104	
10759	562	Escherichia coli	
857277	562	Escherichia coli	
10666	562	Escherichia coli	
1075774	562	Escherichia coli	
876449	59201	Salmonella enterica subsp. enterica	
2163887	469008	Escherichia coli BL21(DE3)	
2163889	469008	Escherichia coli BL21(DE3)	
2163890	469008	Escherichia coli BL21(DE3)	
2163891	469008	Escherichia coli BL21(DE3)	
2315471	511693	Escherichia coli BL21	
2163886	469008	Escherichia coli BL21(DE3)	
1147155	562	Escherichia coli	
97081	1045010	Escherichia coli O157	
936054	83334	Escherichia coli O157:H7	
338125	543	Enterobacteriaceae	
338126	543	Enterobacteriaceae	
489828	562	Escherichia coli	
338140	543	Enterobacteriaceae	
338127	543	Enterobacteriaceae	
338128	543	Enterobacteriaceae	
338124	543	Enterobacteriaceae	
338130	543	Enterobacteriaceae	
338135	543	Enterobacteriaceae	
564886	83334	Escherichia coli O157:H7	
1147158	562	Escherichia coli	
1197935	59201	Salmonella enterica subsp. enterica	
2315797	1350	Enterococcus	
2763102	1352;1350	Enterococcus;Enterococcus faecium	
2759198	1351	Enterococcus faecalis	
1476978	1351	Enterococcus faecalis	
1173135	1351	Enterococcus faecalis	
1647400	1352	Enterococcus faecium	
1498168	1351	Enterococcus faecalis	
1958912	1351	Enterococcus faecalis	
1932891	1351	Enterococcus faecalis	
442493	1351	Enterococcus faecalis	
977801	936153	Enterococcus faecalis 62	
2736188	1351	Enterococcus faecalis	
2736189	1351	Enterococcus faecalis	
1204540	1351	Enterococcus faecalis	
627087	1351	Enterococcus faecalis	
1486428	1351	Enterococcus faecalis	
1597976	1351	Enterococcus faecalis	
1640885	1351	Enterococcus faecalis	
1926594	1352	Enterococcus faecium	
2712942	1351	Enterococcus faecalis	
2419745	1351	Enterococcus faecalis	
2698989	1351	Enterococcus faecalis	
2315766	525279	Enterococcus faecium TX1330	
2583507	1351	Enterococcus faecalis	
2719592	1351	Enterococcus faecalis	
2017580	1350	Enterococcus	
1432658	35783	Enterococcus sp.	
1445858	1352	Enterococcus faecium	
1718158	1352	Enterococcus faecium	
1351735	1351	Enterococcus faecalis	
1416012	1351	Enterococcus faecalis	
2172042	1351	Enterococcus faecalis	
2233540	1351	Enterococcus faecalis	
2816460	1352	Enterococcus faecium	
2577028	1351	Enterococcus faecalis	
2719593	1351	Enterococcus faecalis	
2488858	1351	Enterococcus faecalis	
2696337	1351	Enterococcus faecalis	
2601638	1351	Enterococcus faecalis	
663241	1351	Enterococcus faecalis	
2218497	1350	Enterococcus	
947379	1351	Enterococcus faecalis	
673832	1351	Enterococcus faecalis	
673833	1351	Enterococcus faecalis	
673834	1351	Enterococcus faecalis	
673835	1351	Enterococcus faecalis	
673836	1351	Enterococcus faecalis	
673837	1351	Enterococcus faecalis	
673838	1351	Enterococcus faecalis	
673839	1351	Enterococcus faecalis	
2218498	1350	Enterococcus	
2050964	1351	Enterococcus faecalis	
2030922	1351	Enterococcus faecalis	
2030923	1351	Enterococcus faecalis	
2030924	1351	Enterococcus faecalis	
2070197	1351	Enterococcus faecalis	
1871692	1169286	Enterococcus faecalis ATCC 19433	
1073766	1351	Enterococcus faecalis	
1161939	1352	Enterococcus faecium	
2500558	1351	Enterococcus faecalis	
2546633	1351	Enterococcus faecalis	
2546634	1351	Enterococcus faecalis	
2546621	1351	Enterococcus faecalis	
2546622	1351	Enterococcus faecalis	
2546618	1351	Enterococcus faecalis	
2546619	1351	Enterococcus faecalis	
2546620	1351	Enterococcus faecalis	
2546625	1351	Enterococcus faecalis	
2546624	1351	Enterococcus faecalis	
2546623	1351	Enterococcus faecalis	
2546626	1351	Enterococcus faecalis	
1747288	1351	Enterococcus faecalis	
1747351	1352	Enterococcus faecium	
2501743	1352	Enterococcus faecium	
2683673	1351	Enterococcus faecalis	
2175688	1351	Enterococcus faecalis	
2175687	1351	Enterococcus faecalis	
2601631	1351	Enterococcus faecalis	
2546635	1351	Enterococcus faecalis	
2546627	1351	Enterococcus faecalis	
2546628	1351	Enterococcus faecalis	
2546629	1351	Enterococcus faecalis	
2546630	1351	Enterococcus faecalis	
2546631	1351	Enterococcus faecalis	
2546632	1351	Enterococcus faecalis	
2546636	1351	Enterococcus faecalis	
2283014	1351	Enterococcus faecalis	
1747289	1351	Enterococcus faecalis	
1747326	1351	Enterococcus faecalis	
1747287	1351	Enterococcus faecalis	
2234084	1351	Enterococcus faecalis	
2501744	1351	Enterococcus faecalis	
2562559	1351	Enterococcus faecalis	
2587819	1157397	Enterococcus faecalis EnGen0211	
1458851	525271	Enterococcus faecalis ATCC 29200	
2719594	226185	Enterococcus faecalis V583	
156647	9606	Homo sapiens	
150846	9606	Homo sapiens	
138948	9606	Homo sapiens	Enterovirus infection; Non-polio enterovirus infection
2760809	9606	Homo sapiens	
1435148	9606	Homo sapiens	
2870395	9534;9544	Chlorocebus aethiops;Macaca mulatta	
39054	9606	Homo sapiens	Hand, foot and mouth disease, Herpangina
306588	9606	Homo sapiens	
297248	9606	Homo sapiens	
469959	9534;9544	Chlorocebus aethiops;Macaca mulatta	
1929150	9913	Bos taurus	
138949	9606	Homo sapiens	Enterovirus infection; Non-polio enterovirus infection
325447	9606	Homo sapiens	
408681	9606	Homo sapiens	
1248136	9606	Homo sapiens	
1442164	9606	Homo sapiens	
171720	9606;9544	Homo sapiens;Macaca mulatta	
200154	9606;9544	Homo sapiens;Macaca mulatta	
222889	9606;9544	Homo sapiens;Macaca mulatta	
282345	9606;9544	Homo sapiens;Macaca mulatta	
222887	9606	Homo sapiens	
2760813	9606;9544	Homo sapiens;Macaca mulatta	
318563	9606;9544	Homo sapiens;Macaca mulatta	
318564	9606;9544	Homo sapiens;Macaca mulatta	
318565	9606;9544	Homo sapiens;Macaca mulatta	
318566	9606;9544	Homo sapiens;Macaca mulatta	
318567	9606	Homo sapiens	
318568	9606	Homo sapiens	
318569	9606	Homo sapiens	
318570	9606	Homo sapiens	
318571	9606	Homo sapiens	
325446	9606	Homo sapiens	
138950	9606	Homo sapiens	Enterovirus infection; Non-polio enterovirus infection
2760818	9606	Homo sapiens	
2650411	9606	Homo sapiens	
861519	9606	Homo sapiens	
2760819	9606	Homo sapiens	
2760820	9606	Homo sapiens	
325445	9606	Homo sapiens	
1295563	9606	Homo sapiens	
138951	9606	Homo sapiens	Enterovirus infection; Non-polio enterovirus infection
42789	9606;9544	Homo sapiens;Macaca mulatta	
12090	9031;9541;9823;9615;9606;9940;9913;9925	Bos taurus;Capra hircus;Homo sapiens;Gallus gallus;Sus scrofa;Macaca fascicularis;Ovis aries;Canis lupus familiaris	Acute hemorrhagic conjunctivitis
2015550	9986;10036;9615;9606;9913;60711;10090	Mesocricetus auratus;Bos taurus;Homo sapiens;Oryctolagus cuniculus;Canis lupus familiaris;Chlorocebus sabaeus;Mus musculus	
12064	9913	Bos taurus	
1330520	9913	Bos taurus	
2849103	9337	Trichosurus vulpecula	
106966	9823	Sus scrofa	
1849328	9925	Capra hircus	
310907	9606;9488	Homo sapiens;Saguinus mystax	
1330521	9545;9541;9555;9556;9534;9544	Chlorocebus aethiops;Papio anubis;Macaca nemestrina;Macaca fascicularis;Papio cynocephalus;Macaca mulatta	
1917071	9544	Macaca mulatta	
1826059	1	root	
47681	9561	Mandrillus sphinx	
123738	9606	Homo sapiens	
2086640	2021366	Entoleuca sp.	
239365	9925	Capra hircus	
943342	259054	Eothenomys miletus	
382962	35717	Epichloe festucae	
166056	437486	Epinotia aporema	
70600	7088	Lepidoptera	
2713640	983927	Epiphyllum	
544686	63459;4100;66262;3754	Chenopodium quinoa;Prunus;Nicotiana benthamiana;Chenopodium amaranticolor	
100217	8168	Perca fluviatilis	
449135	41819;10036	Ceratopogonidae;Mesocricetus auratus	
449133	9874;9913	Odocoileus virginianus;Bos taurus	
449134	9913;10036	Bos taurus;Mesocricetus auratus	
10910	9872;9891;9874	Odocoileus hemionus;Odocoileus virginianus;Antilocapra americana	
449142	9913;10036	Bos taurus;Mesocricetus auratus	
449136	41819;10036	Ceratopogonidae;Mesocricetus auratus	
449137	9913;10036	Bos taurus;Mesocricetus auratus	
449141	9913;10036	Bos taurus;Mesocricetus auratus	
449138	9913;10036	Bos taurus;Mesocricetus auratus	
449139	9913;10036	Bos taurus;Mesocricetus auratus	
449140	9913;10036	Bos taurus;Mesocricetus auratus	
40537	9913	Bos taurus	
1891754	9913	Bos taurus	
2035399	29078	Eptesicus fuscus	
1464071	59452	Eptesicus serotinus	
1464072	59452	Eptesicus serotinus	
1464073	59452	Eptesicus serotinus	
1329402	29078;101841	Chlorocebus aethiops aethiops;Eptesicus fuscus	
10326	9796	Equus caballus	
80341	9796	Equus caballus	
10331	9796	Equus caballus	
39637	9796	Equus caballus	
55744	9789	Equus	
12657	9796	Equus caballus	
10371	9796	Equus caballus	
46916	9796	Equus caballus	
67603	9796	Equus caballus	
11047	9606;9788	Homo sapiens;Equidae	
136187	9796	Equus caballus	
201490	9534;10036;9796	Chlorocebus aethiops;Equus caballus;Mesocricetus auratus	
109270	9796	Equus caballus	
2849477	9606;10036;9796	Homo sapiens;Equus caballus;Mesocricetus auratus	
1416349	9796	Equus caballus	
11665	9793;9796	Equus caballus;Equus asinus	
2079554	9796	Equus caballus	
1307803	9796	Equus caballus	
47000	9796	Equus caballus	
47001	9986;9796	Oryctolagus cuniculus;Equus caballus	
168014	9986;9796	Oryctolagus cuniculus;Equus caballus	
1163703	9793	Equus asinus	
333920	9796	Equus caballus	
526413	9796	Equus caballus	
940834	9796	Equus caballus	
1235428	9796	Equus caballus	
1235429	9796	Equus caballus	
1235427	1114792	Equus ferus	
1235430	1114792	Equus ferus	
1912759	9796	Equus caballus	
638358	38414	Eragrostis curvula	
1030595	110886	Eragrostis minor	
496807	38414	Eragrostis curvula	
390443	415159	Erechtites valerianifolius	
447603	415159	Erechtites valerianifolius	
291590	34844	Erethizon dorsatum	
2268125	34844	Erethizon dorsatum	
2069322	244311	Erigeron breviscapus	
2069323	244311	Erigeron breviscapus	
445217	9365	Erinaceus europaeus	
307444	325935	Erinnyis ello	
273810	95602	Eriocheir sinensis	
2869569	182337	Erwinia billingiae	
2163633	552	Erwinia amylovora	
2530027	552	Erwinia amylovora	
1429768	552	Erwinia amylovora	
1429767	552	Erwinia amylovora	
947843	552	Erwinia amylovora	
418443	552	Erwinia amylovora	
2014586	65700	Erwinia tracheiphila	
2182346	552	Erwinia amylovora	
1407608	558	Erwinia sp.	
2678601	552	Erwinia amylovora	
1883375	552	Erwinia amylovora	
2663326	55211	Erwinia persicina	
2267655	552	Erwinia amylovora	
2869543	552	Erwinia amylovora	
2869544	552	Erwinia amylovora	
2869545	552	Erwinia amylovora	
2869547	552	Erwinia amylovora	
2869549	552	Erwinia amylovora	
2869552	552	Erwinia amylovora	
2869553	552	Erwinia amylovora	
2869555	552	Erwinia amylovora	
2869556	552	Erwinia amylovora	
2869557	552	Erwinia amylovora	
2797313	552	Erwinia amylovora	
2866695	552	Erwinia amylovora	
